trial_id,participant_id,scenario_id,density,nback,first_action_type,action_order_string,dt_steer_minus_brake,dt_brake_minus_accel,is_simultaneous_brake_steer,is_simultaneous_accel_steer
density_10_nback_0_id_7,7,density_10_nback_0,10,0,STEER_FIRST,accel_release -> steer -> brake,-0.2999999523162842,0.4499998092651367,False,False
density_10_nback_1_id_7,7,density_10_nback_1,10,1,BRAKE_FIRST,accel_release -> brake -> steer,3.200000047683716,0.09999990463256836,False,False
density_10_nback_2_id_7,7,density_10_nback_2,10,2,BRAKE_FIRST,accel_release -> brake -> steer,2.1999998092651367,1.1000001430511475,False,False
density_20_nback_0_id_7,7,density_20_nback_0,20,0,STEER_FIRST,steer -> accel_release -> brake,-1.9500000476837158,0.5999999046325684,False,False
density_20_nback_1_id_7,7,density_20_nback_1,20,1,BRAKE_FIRST,accel_release -> brake -> steer,3.049999952316284,0.75,False,False
density_20_nback_2_id_7,7,density_20_nback_2,20,2,BRAKE_FIRST,accel_release -> brake -> steer,2.4499998092651367,0.20000004768371582,False,False
density_0_nback_0_id_8,8,density_0_nback_0,0,0,BRAKE_FIRST,accel_release -> brake -> steer,1.0999999046325684,0.10000014305114746,False,False
density_0_nback_1_id_8,8,density_0_nback_1,0,1,STEER_FIRST,steer -> brake,-41.5,,False,False
density_0_nback_2_id_8,8,density_0_nback_2,0,2,STEER_FIRST,steer -> brake,-31.75,,False,False
density_10_nback_0_id_8,8,density_10_nback_0,10,0,STEER_FIRST,accel_release -> steer -> brake,-0.5,0.6499998569488525,False,False
density_10_nback_1_id_8,8,density_10_nback_1,10,1,BRAKE_FIRST,accel_release -> brake -> steer,2.049999952316284,0.04999995231628418,False,False
