trial_id,participant_id,scenario_id,density,nback,brake_extrema_count,brake_reapplication_count,brake_derivative_sign_changes,steering_reversals_count,steering_rate_sign_changes
density_20_nback_2_id_31,31,density_20_nback_2,20,2,6,6,24,20,252
density_0_nback_0_id_32,32,density_0_nback_0,0,0,3,2,9,47,60
density_0_nback_1_id_32,32,density_0_nback_1,0,1,3,1,5,82,88
density_0_nback_2_id_32,32,density_0_nback_2,0,2,3,4,10,124,170
density_10_nback_0_id_32,32,density_10_nback_0,10,0,7,10,23,40,49
density_10_nback_1_id_32,32,density_10_nback_1,10,1,5,2,12,61,175
density_10_nback_2_id_32,32,density_10_nback_2,10,2,9,10,25,91,97
density_20_nback_0_id_32,32,density_20_nback_0,20,0,4,1,16,223,240
density_20_nback_1_id_32,32,density_20_nback_1,20,1,4,4,10,45,73
density_20_nback_2_id_32,32,density_20_nback_2,20,2,9,5,21,18,236
density_0_nback_0_id_33,33,density_0_nback_0,0,0,2,1,7,52,72
density_0_nback_1_id_33,33,density_0_nback_1,0,1,3,1,5,96,98
density_0_nback_2_id_33,33,density_0_nback_2,0,2,2,2,5,83,119
density_10_nback_0_id_33,33,density_10_nback_0,10,0,10,11,32,82,108
density_10_nback_1_id_33,33,density_10_nback_1,10,1,6,3,17,81,182
density_10_nback_2_id_33,33,density_10_nback_2,10,2,7,5,17,36,56
density_20_nback_0_id_33,33,density_20_nback_0,20,0,3,1,14,212,232
density_20_nback_1_id_33,33,density_20_nback_1,20,1,5,4,16,31,66
density_20_nback_2_id_33,33,density_20_nback_2,20,2,7,7,25,8,256
density_0_nback_0_id_34,34,density_0_nback_0,0,0,1,0,5,72,87
density_0_nback_1_id_34,34,density_0_nback_1,0,1,2,0,12,92,92
density_0_nback_2_id_34,34,density_0_nback_2,0,2,1,0,5,90,134
density_10_nback_0_id_34,34,density_10_nback_0,10,0,6,5,21,29,60
density_10_nback_1_id_34,34,density_10_nback_1,10,1,4,0,12,81,178
density_10_nback_2_id_34,34,density_10_nback_2,10,2,3,2,27,45,57
density_20_nback_0_id_34,34,density_20_nback_0,20,0,3,1,5,207,222
density_20_nback_1_id_34,34,density_20_nback_1,20,1,5,6,17,28,51
density_20_nback_2_id_34,34,density_20_nback_2,20,2,6,5,16,10,230
density_0_nback_0_id_35,35,density_0_nback_0,0,0,2,1,5,51,67
density_0_nback_1_id_35,35,density_0_nback_1,0,1,0,0,0,68,69
density_0_nback_2_id_35,35,density_0_nback_2,0,2,4,5,10,124,162
density_10_nback_0_id_35,35,density_10_nback_0,10,0,3,4,16,33,48
density_10_nback_1_id_35,35,density_10_nback_1,10,1,3,0,7,86,181
density_10_nback_2_id_35,35,density_10_nback_2,10,2,4,3,15,49,61
density_20_nback_0_id_35,35,density_20_nback_0,20,0,2,0,2,202,210
density_20_nback_1_id_35,35,density_20_nback_1,20,1,4,6,11,34,60
density_20_nback_2_id_35,35,density_20_nback_2,20,2,7,5,19,8,235
density_0_nback_0_id_36,36,density_0_nback_0,0,0,3,3,7,185,201
